ListName,DomainOwner,CRMType,PullOwner
WaferDieBonusCodes_F21_PULL,MES,Users,Users
WaferDieLossCodes_F21_PULL,MES,Users,Users
WIPSteeringConfigurationEx_F21_PULL,AIT,Direct Pull,PIC
AMQueueCompareConfig_S46_PULL,AMO/L8,MCCB,PIC
AreaModuleValidation_S46_PULL,AIT,Direct Pull,PIC
ASOMConfig_S46_PULL,AMO/L8,MCCB,MES
ASOMDispatchConfig_S46_PULL,AMO/L8,Direct Pull Special,PIC
AssembleLotAttributeRules_S46_PULL,MES,Users,Users
AutoMergeSplitConfig_S46_PULL,MES,Direct Pull Special,PIC
BOMAttachOpers_S46_PULL,SFC,Direct Pull,PIC
CascadeConfig_S46_PULL,AMO/L8,MCCB,PIC
ChainLogEventSetup_S46_PULL,MES,Direct Pull,PIC
ChildLotPlanConfigurationForSplitLotRework_S46_PULL,MES,Direct Pull,PIC
ClusterConfiguration_S46_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_S46_PULL,MES,Direct Pull,PIC
ComponentLossCodes_S46_PULL,MES,Users,Users
CQTReworkOperGroups_S46_PULL,MES,Direct Pull,PIC
CriticalQueueTimeConfiguration_S46_PULL,AMO/L8,Direct Pull Special,PIC
CriticalQueueTimeConfigurationEx_S46_PULL,AMO/L8,Direct Pull Special,PIC
CustomizationMap_S46_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_S46_PULL,MES,Direct Pull,PIC
DOCLotDieBonusCodes_S46_PULL,MES,MCCB,PIC
DOCLotDieLossCodes_S46_PULL,AIT,Direct Pull,PIC
EquipModel_S46_PULL,AIT,Direct Pull,PIC
EquipProcessing_S46_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_S46_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_S46_PULL,AMO/L8,MCCB,PIC
FOUPCarrierConfigurations_S46_PULL,MES,Direct Pull,PIC
FOUPCarrierOperationValidation_S46_PULL,AIT,Direct Pull,PIC
FOUPCarrierType_S46_PULL,AIT,Direct Pull,PIC
FunctionalAreaValidation_S46_PULL,WIP,Direct Pull,PIC
GlassWaferConstants_S46_PULL,MES,Direct Pull,PIC
Groups_S46_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_S46_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_S46_PULL,MES,Direct Pull,PIC
L8CustomizationPointWFConfig_S46_PULL,AMO/L8,MCCB,PIC
LossCodes_S46_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_S46_PULL,MES,Direct Pull,MES
MergeLotAttributesRules_S46_PULL,MES,Users,Users
OperationAttributes_S46_PULL,MES,Direct Pull,PIC
OperationWorkflowDefinition_S46_PULL,WIP,Direct Pull Special,PIC
PartialWaferDieLossCodes_S46_PULL,AIT,Users,Users
PFCFunctionalTypes_S46_PULL,WIP,Direct Pull,PIC
PFCMaskAlignments_S46_PULL,WIP,Direct Pull,PIC
PiecePartVendorUDA_S46_PULL,AIT,Direct Pull Special,PIC
PMCounterReset_S46_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_S46_PULL,MES,Direct Pull,PIC
ProductCodeGroup_S46_PULL,MES,Users,Users
ProductAutoAdjustMapping_S46_PULL,MES,Users,Users
ProductPackageFamily_S46_PULL,MES,Users,Users
ProductPackageType_S46_PULL,MES,Users,Users
PxCascadeTrack2_S46_PULL,AMO/L8,MCCB,PIC
ReelDieLossCodes_S46_PULL,AIT,Users,Users
ReworkCauses_S46_PULL,WIP,Direct Pull,PIC
SorterAction_S46_PULL,WIP,Direct Pull,PIC
StartsQueueConfiguration_S46_PULL,AIT,Direct Pull,PIC
TALAExcludedUDAUpdate_S46_PULL,AIT,Direct Pull,PIC
TimerDefinition_S46_PULL,AIT,Direct Pull,PIC
TimerOperEvents_S46_PULL,AIT,Direct Pull,PIC
TWAttributesReset_S46_PULL,MES,Direct Pull,PIC
UndoAllowedIntermediateTransactions_S46_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_S46_PULL,WIP,MCCB,MES
WaferDieBonusCodes_S46_PULL,MES,Users,Users
WaferDieLossCodes_S46_PULL,MES,Users,Users
WIPSteeringConfigurationEx_S46_PULL,AIT,Direct Pull,PIC
